OBJECTID,Trap Type,Trap Number,Trap Set Date,Trap Pull Date,Active,Location Notes,Week,Site Name,EGC Captured?,Prospecting Trap?,MMP Trap?,TrapIDJoin,Latitude,Longitude,created_date,created_user,last_edited_date,last_edited_user,GlobalID,x,y
88,Minnow,18,20190501,20190503,No,,4,Channel (DS-1),No,No,No,Minnow-18_5/1/2019,48.17493333,-123.1382133,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,f1829513-4ce1-45e5-896b-9cbe13ee9c1d,-123.1382133,48.17493333
89,Fukui,18,20190501,20190503,No,,4,Channel (DS-1),No,No,No,Fukui-18_5/1/2019,48.17507313,-123.1384281,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,2a266fbf-6126-48ff-853c-6bbc35467582,-123.1384281,48.17507313
90,Minnow,19,20190501,20190503,No,,4,Channel (DS-1),No,No,No,Minnow-19_5/1/2019,48.17506955,-123.1385865,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,2f566775-9bcd-42d4-a45f-6eed8c1cbb5c,-123.1385865,48.17506955
91,Fukui,19,20190501,20190503,No,,4,Channel (DS-1),No,No,No,Fukui-19_5/1/2019,48.17496041,-123.1386508,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,6888452d-8b0a-4799-b60c-c4e1afcd708a,-123.1386508,48.17496041
92,Minnow,20,20190501,20190503,No,,4,Channel (DS-1),No,No,No,Minnow-20_5/1/2019,48.17479529,-123.1386423,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,09973d47-5ad7-4f63-a233-01682d4bba3e,-123.1386423,48.17479529
93,Fukui,20,20190501,20190503,No,,4,Channel (DS-1),No,No,No,Fukui-20_5/1/2019,48.17473207,-123.1386551,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,acf4963c-768a-43ba-858e-abd213bfb8f4,-123.1386551,48.17473207
95,Minnow,4,20190501,20190503,No,,4,Channel (DS-1),No,No,No,Minnow-4_5/1/2019,48.1736,-123.1371517,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,fc91b6ad-a270-4ce8-ba77-e4c15d08a8c0,-123.1371517,48.1736
96,Minnow,11,20190501,20190503,No,,4,Channel (DS-1),No,No,No,Minnow-11_5/1/2019,48.17379,-123.1360533,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,eff4be80-3d6c-4b77-b856-40e5eac84a27,-123.1360533,48.17379
103,Minnow,2,20190506,20190510,No,,5,Channel (DS-1),No,No,No,Minnow-2_5/6/2019,48.17353833,-123.1374533,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,6d774dd1-195f-4b0c-a646-6612579ab177,-123.1374533,48.17353833
105,Minnow,3,20190506,20190510,No,,5,Channel (DS-1),No,No,No,Minnow-3_5/6/2019,48.17373277,-123.1374177,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,e55a7d57-1e3e-4474-b6d5-b33776b6957a,-123.1374177,48.17373276
106,Fukui,3,20190506,20190510,No,,5,Channel (DS-1),No,No,No,Fukui-3_5/6/2019,48.17374,-123.137335,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,6b769eb3-5dba-47bb-82c8-bcb776996f2a,-123.137335,48.17374
108,Minnow,5,20190506,20190510,No,,5,Channel (DS-1),No,No,No,Minnow-5_5/6/2019,48.17347667,-123.1370017,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,9932c20b-f385-4fd5-94fa-4bdaf03c0c1c,-123.1370017,48.17347667
115,Minnow,9,20190506,20190510,No,,5,Channel (DS-1),No,No,No,Minnow-9_5/6/2019,48.173915,-123.1366617,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,c758d3c3-7801-421f-90fc-ca92803effaa,-123.1366617,48.173915
116,Fukui,9,20190506,20190510,No,,5,Channel (DS-1),No,No,No,Fukui-9_5/6/2019,48.17390167,-123.1367717,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,2ff64569-f174-4683-8644-151094e3a033,-123.1367717,48.17390167
117,Minnow,10,20190506,20190510,No,,5,Channel (DS-1),No,No,No,Minnow-10_5/6/2019,48.17389667,-123.1369133,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,033e6240-4925-4868-8a03-f5bda4122f5a,-123.1369133,48.17389667
118,Fukui,10,20190506,20190510,No,,5,Channel (DS-1),No,No,No,Fukui-10_5/6/2019,48.17391667,-123.1370533,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,d5bee67f-c486-4183-9e39-353db9d75c3b,-123.1370533,48.17391667
119,Fukui,11,20190506,20190510,No,,5,Channel (DS-1),No,No,No,Fukui-11_5/6/2019,48.17421667,-123.1372333,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,c9ebde9d-f68d-4be0-a2bc-90408e5fe5ca,-123.1372333,48.17421667
120,Minnow,12,20190506,20190510,No,,5,Channel (DS-1),No,No,No,Minnow-12_5/6/2019,48.17430333,-123.1372833,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,e03cdff1-4d86-4c79-b504-026f0b5c736d,-123.1372833,48.17430333
121,Fukui,12,20190506,20190510,No,,5,Channel (DS-1),No,No,No,Fukui-12_5/6/2019,48.17435667,-123.13739,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,7c9465f6-c8df-4f50-a4fb-70734751ed2a,-123.13739,48.17435667
122,Minnow,13,20190506,20190510,No,,5,Channel (DS-1),No,No,No,Minnow-13_5/6/2019,48.17443667,-123.137455,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,0d7595a9-4122-4878-90a0-0ec00fb804c0,-123.137455,48.17443667
123,Fukui,13,20190506,20190510,No,,5,Channel (DS-1),No,No,No,Fukui-13_5/6/2019,48.17451667,-123.1375483,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,ed12acd5-2a2d-42ad-b2b2-649add0101c6,-123.1375483,48.17451667
124,Minnow,14,20190506,20190510,No,,5,Channel (DS-1),No,No,No,Minnow-14_5/6/2019,48.174505,-123.137655,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,a139dbd1-ed2e-4da3-927e-b5d1e9b24e5c,-123.137655,48.174505
125,Fukui,14,20190506,20190510,No,,5,Channel (DS-1),No,No,No,Fukui-14_5/6/2019,48.17452,-123.137825,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,19b1b823-5e2f-440b-83e8-29f3adef08ca,-123.137825,48.17452
126,Minnow,15,20190506,20190510,No,,5,Channel (DS-1),No,No,No,Minnow-15_5/6/2019,48.174595,-123.13795,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,fe0d98f7-ebfc-4267-a929-55aecc91e227,-123.13795,48.174595
127,Fukui,15,20190506,20190510,No,,5,Channel (DS-1),No,No,No,Fukui-15_5/6/2019,48.17463833,-123.1380017,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,2684af81-ef05-433d-8e9c-6b14e055eeb2,-123.1380017,48.17463833
128,Minnow,16,20190506,20190510,No,,5,Channel (DS-1),No,No,No,Minnow-16_5/6/2019,48.1747,-123.1379567,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,16bd621a-32b7-4806-b35e-3a0fb6ae77df,-123.1379567,48.1747
129,Fukui,16,20190506,20190510,No,,5,Channel (DS-1),No,No,No,Fukui-16_5/6/2019,48.17480333,-123.1379567,12/16/2020 4:26,KSO,12/16/2020 4:26,KSO,27976b5c-93a2-4139-9759-d6377d08bcd1,-123.1379567,48.17480333
